api_version,category,method,endpoint,description,requires_auth,requires_admin,status_code,response_time_ms,success,error_message,test_timestamp
global,Global,GET,/health,Simple health check endpoint used during scaffolding.,FALSE,FALSE,200,3.95,TRUE,,2025-12-26T03:57:59.238291Z
global,Global,GET,/health/db,Database connection pool health check endpoint.,FALSE,FALSE,200,3.54,TRUE,,2025-12-26T03:57:59.238291Z
global,Global,GET,/favicon.ico,Return an empty favicon response to silence browser requests.,FALSE,FALSE,204,5.01,TRUE,,2025-12-26T03:57:59.238291Z
global,Global,GET,/admin/,Present a placeholder admin endpoint to satisfy integration probes.,FALSE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Root,GET,/api/v1/,Return a lightweight descriptor for the API.,FALSE,FALSE,200,4.56,TRUE,,2025-12-26T03:57:59.238291Z
v1,Root,GET,/api/v1/health/,Return a lightweight health payload for the versioned API.,FALSE,FALSE,200,3.03,TRUE,,2025-12-26T03:57:59.238291Z
v1,Health,GET,/api/v1/health/vql,Check VQL/Connectra health. Verifies connectivity to the Connectra service and returns health status information.,TRUE,FALSE,200,1163.97,TRUE,,2025-12-26T03:57:59.238291Z
v1,Health,GET,/api/v1/health/vql/stats,Get VQL query statistics and metrics. Provides information about VQL query performance, success rates, and fallback rates.,200,5.31,TRUE,,2025-12-26T03:57:59.238291Z
v1,Authentication,POST,/api/v1/auth/register,User registration. Register a new user account and receive access tokens.,FALSE,FALSE,201,6247.39,TRUE,,2025-12-26T03:57:59.238291Z
v1,Authentication,POST,/api/v1/auth/register/,User registration (with trailing slash). Register a new user account and receive access tokens.,FALSE,FALSE,201,3899.74,TRUE,,2025-12-26T03:57:59.238291Z
v1,Authentication,POST,/api/v1/auth/login/,User login. Authenticate user and receive access tokens.,FALSE,FALSE,200,4425.83,TRUE,,2025-12-26T03:57:59.238291Z
v1,Authentication,POST,/api/v1/auth/logout/,User logout. Invalidate the current access token.,TRUE,FALSE,200,2859.00,TRUE,,2025-12-26T03:57:59.238291Z
v1,Authentication,GET,/api/v1/auth/session/,Get current session. Returns current user information and session details.,TRUE,FALSE,200,10.04,TRUE,,2025-12-26T03:57:59.238291Z
v1,Authentication,GET,/api/v1/auth/user-info/,Get combined user information in a single request. Returns session, profile, and billing data.,200,2274.93,TRUE,,2025-12-26T03:57:59.238291Z
v1,Authentication,POST,/api/v1/auth/refresh/,Refresh access token. Exchange refresh token for new access and refresh tokens.,FALSE,FALSE,400,1724.06,FALSE,Token is invalid or expired,2025-12-26T03:57:59.238291Z
v1,User Profile,GET,/api/v1/users/profile/,Get current user profile. Returns profile information for the currently authenticated user.,TRUE,FALSE,200,2140.06,TRUE,,2025-12-26T03:57:59.238291Z
v1,User Profile,PUT,/api/v1/users/profile/,Update current user profile. Update profile information for the currently authenticated user.,TRUE,FALSE,400,2867.30,TRUE,,2025-12-26T03:57:59.238291Z
v1,User Profile,POST,/api/v1/users/profile/avatar/,Upload user avatar. Upload or update the user's profile avatar image.,TRUE,FALSE,400,30500.44,TRUE,,2025-12-26T03:57:59.238291Z
v1,User Profile,POST,/api/v1/users/promote-to-admin/,Promote user to admin. Self-promote the current user to Admin role (not recommended for production).,TRUE,FALSE,,0.00,TRUE,Skipped: Endpoint returns 500 errors (server-side issue),2025-12-26T03:57:59.238291Z
v1,User Profile,POST,/api/v1/users/promote-to-super-admin/,Promote user to super admin. Self-promote the current user to SuperAdmin role (not recommended for production).,TRUE,FALSE,422,1716.12,TRUE,,2025-12-26T03:57:59.238291Z
v1,User Profile,GET,/api/v1/users/sales-navigator/list,List user scraping records. Get a list of all Sales Navigator scraping records for the current user.,TRUE,FALSE,200,2590.72,TRUE,,2025-12-26T03:57:59.238291Z
v1,Super Admin Users,GET,/api/v1/users/,List all users (SuperAdmin only). Get a paginated list of all users in the system.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Users,PUT,/api/v1/users/{user_id}/role/,Update user role (SuperAdmin only). Change a user's role to a different role.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Users,PUT,/api/v1/users/{user_id}/credits/,Update user credits (SuperAdmin only). Update a user's credit balance.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Users,DELETE,/api/v1/users/{user_id}/,Delete user (SuperAdmin only). Permanently delete a user account.,TRUE,TRUE,204,,,,
v1,Super Admin Users,GET,/api/v1/users/stats/,Get user statistics (SuperAdmin only). Get aggregated statistics about all users in the system.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Users,GET,/api/v1/users/history/,Get user history (SuperAdmin only). Get a paginated list of user activity history.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Billing,GET,/api/v1/billing/,Get billing information. Get billing information for the currently authenticated user, including credits, subscription status,200,1772.01,TRUE,,2025-12-26T03:57:59.238291Z
v1,Billing,GET,/api/v1/billing/plans/,Get subscription plans. Get a list of all available subscription plans with all billing periods (monthly, quarterly, yearly). This endpoint does not require authentication.,200,10.97,TRUE,,2025-12-26T03:57:59.238291Z
v1,Billing,GET,/api/v1/billing/addons/,Get addon packages. Get a list of all available addon credit packages. These packages allow users to purchase additional credits on top of their subscription. This endpoint does not require authentication.,FALSE,FALSE,200,1996.99,TRUE,,2025-12-26T03:57:59.238291Z
v1,Billing,POST,/api/v1/billing/subscribe/,Subscribe to plan. Subscribe the currently authenticated user to a subscription plan. Requires both a tier and billing period.,TRUE,FALSE,422,15.30,TRUE,,2025-12-26T03:57:59.238291Z
v1,Billing,POST,/api/v1/billing/addon/,Purchase addon credits. Purchase addon credits for the currently authenticated user. Addon credits are added to the user's existing credit balance and do not affect the subscription plan.,TRUE,FALSE,422,14.83,TRUE,,2025-12-26T03:57:59.238291Z
v1,Billing,POST,/api/v1/billing/cancel/,Cancel subscription. Cancel the currently authenticated user's subscription. The subscription will remain active until the end of the current billing period.,TRUE,FALSE,400,1713.00,TRUE,,2025-12-26T03:57:59.238291Z
v1,Billing,GET,/api/v1/billing/invoices/,Get invoice history. Get invoice history for the currently authenticated user. Returns a paginated list of invoices with status and amounts.,TRUE,FALSE,200,1709.88,TRUE,,2025-12-26T03:57:59.238291Z
v1,Super Admin Billing,GET,/api/v1/billing/admin/plans/,Get all subscription plans (SuperAdmin only). Get all subscription plans for admin management, including inactive plans if requested.,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Billing,POST,/api/v1/billing/admin/plans/,Create subscription plan (SuperAdmin only). Create a new subscription plan.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Billing,PUT,/api/v1/billing/admin/plans/{tier}/,Update subscription plan (SuperAdmin only). Update an existing subscription plan.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Billing,DELETE,/api/v1/billing/admin/plans/{tier}/,Delete subscription plan (SuperAdmin only). Delete a subscription plan.,TRUE,TRUE,200,,,,
v1,Super Admin Billing,POST,/api/v1/billing/admin/plans/{tier}/periods/,Create/update subscription plan period (SuperAdmin only). Create or update a subscription plan period (monthly, quarterly, or yearly).,422,1710.09,TRUE,,2025-12-26T03:57:59.238291Z
v1,Super Admin Billing,DELETE,/api/v1/billing/admin/plans/{tier}/periods/{period}/,Delete subscription plan period (SuperAdmin only). Delete a subscription plan period.,TRUE,TRUE,200,,,,
v1,Super Admin Billing,GET,/api/v1/billing/admin/addons/,Get all addon packages (SuperAdmin only). Get all addon packages for admin management, including inactive packages if requested.,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Billing,POST,/api/v1/billing/admin/addons/,Create addon package (SuperAdmin only). Create a new addon package.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Billing,PUT,/api/v1/billing/admin/addons/{package_id}/,Update addon package (SuperAdmin only). Update an existing addon package.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.238291Z
v1,Super Admin Billing,DELETE,/api/v1/billing/admin/addons/{package_id}/,Delete addon package (SuperAdmin only). Delete an addon package.,TRUE,TRUE,200,,,,
v1,Usage,GET,/api/v1/usage/current/,Get current feature usage. Get the current feature usage for all features for the authenticated user. Returns usage counts and limits for each feature.,TRUE,FALSE,200,3991.77,TRUE,,2025-12-26T03:57:59.238291Z
v1,Usage,POST,/api/v1/usage/track/,Track feature usage. Track usage of a specific feature for the authenticated user. Increments the usage count for the specified feature type.,TRUE,FALSE,200,2848.67,TRUE,,2025-12-26T03:57:59.238291Z
v2,AI Chat,GET,/api/v2/ai-chats/,List user's chat history. Get a list of all AI chat conversations for the current user with pagination.,TRUE,FALSE,200,3137.75,TRUE,,2025-12-26T03:57:59.239798Z
v2,AI Chat,POST,/api/v2/ai-chats/,Create new chat. Create a new AI chat conversation. Returns the created chat with a unique chat_id.,TRUE,FALSE,201,2590.54,TRUE,,2025-12-26T03:57:59.239798Z
v2,AI Chat,GET,/api/v2/ai-chats/{chat_id}/,Get specific chat. Get a specific AI chat conversation by chat_id. Returns the full chat history including all messages.,TRUE,FALSE,404,2563.24,TRUE,,2025-12-26T03:57:59.239798Z
v2,AI Chat,PUT,/api/v2/ai-chats/{chat_id}/,Update chat. Update an existing AI chat conversation. Only provided fields will be updated (e.g., title).,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v2,AI Chat,DELETE,/api/v2/ai-chats/{chat_id}/,Delete chat. Delete an AI chat conversation. This permanently removes the chat and all its messages.,TRUE,FALSE,204,,,,
v2,AI Chat,POST,/api/v2/ai-chats/{chat_id}/message,Send message. Send a message to an AI chat conversation. The AI will process the message and return a response.,TRUE,FALSE,422,82.59,TRUE,,2025-12-26T03:57:59.239798Z
v2,AI Chat,POST,/api/v2/ai-chats/{chat_id}/message/stream,Stream message. Send a message to an AI chat conversation and receive a streaming response using server-sent events (SSE).,TRUE,FALSE,422,22.22,TRUE,,2025-12-26T03:57:59.239798Z
v2,Gemini AI,POST,/api/v2/gemini/email/analyze,Analyze email risk. Analyze an email address for potential risk factors using Gemini AI. This endpoint evaluates email addresses to identify risk indicators such as role-based emails, disposable email addresses, and provides a risk score with detailed analysis.,401,13932.33,FALSE,Given token not valid for any token type,2025-12-26T03:57:59.239798Z
v2,Gemini AI,POST,/api/v2/gemini/company/summary,Generate company summary. Generate an AI-powered company summary using Gemini AI. This endpoint creates a comprehensive summary of a company based on its name and industry, providing insights and context.,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v2,Gemini AI,POST,/api/v2/gemini/parse-filters,Parse natural language filters. Parse a natural language query into structured contact filter parameters using Gemini AI. This endpoint extracts job titles, company names, industries,422,2287.95,TRUE,,2025-12-26T03:57:59.239798Z
v2,Usage,POST,/api/v2/usage/reset,Reset feature usage. Reset the usage counter for a specific feature to zero. This endpoint allows users to manually reset their usage count for a particular feature, useful for testing or administrative purposes.,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v2,Analytics,POST,/api/v2/analytics/performance,Submit performance metric. Submit a performance metric for analytics tracking. This endpoint accepts performance metrics such as Core Web Vitals (LCP, FID, CLS),422,9.37,TRUE,,2025-12-26T03:57:59.239798Z
v3,Contacts,POST,/api/v3/contacts/query,Query contacts using VQL (Vivek Query Language). Supports complex filter conditions, field selection, and related entity population. Request body contains VQL query structure with filters,200,2410.12,TRUE,,2025-12-26T03:57:59.239798Z
v3,Contacts,POST,/api/v3/contacts/count,Count contacts matching VQL query. Request body contains VQL query structure with filters for counting matching records.,TRUE,FALSE,200,2078.91,TRUE,,2025-12-26T03:57:59.239798Z
v3,Contacts,GET,/api/v3/contacts/filters,Get available filters for contacts. Returns a list of filter definitions with metadata about each filterable field.,TRUE,FALSE,200,1870.45,TRUE,,2025-12-26T03:57:59.239798Z
v3,Contacts,POST,/api/v3/contacts/filters/data,Get filter data values for a specific contact filter with optional search and pagination. Request body contains service, filter_key, search_text (optional),422,14.98,TRUE,,2025-12-26T03:57:59.239798Z
v3,Contacts,GET,/api/v3/contacts/{contact_uuid}/,Retrieve a single contact by UUID.,TRUE,FALSE,200,2136.09,TRUE,,2025-12-26T03:57:59.239798Z
v3,Companies,POST,/api/v3/companies/query,Query companies using VQL (Vivek Query Language). Supports complex filter conditions, field selection, and related entity population. Request body contains VQL query structure with filters,200,2385.71,TRUE,,2025-12-26T03:57:59.239798Z
v3,Companies,POST,/api/v3/companies/count,Count companies matching VQL query. Request body contains VQL query structure with filters for counting matching records.,TRUE,FALSE,200,2252.37,TRUE,,2025-12-26T03:57:59.239798Z
v3,Companies,GET,/api/v3/companies/filters,Get available filters for companies. Returns a list of filter definitions with metadata about each filterable field.,TRUE,FALSE,,0.00,FALSE,"Request error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v3/companies/filters (Caused by ResponseError('too many 500 error responses'))",2025-12-26T03:57:59.239798Z
v3,Companies,POST,/api/v3/companies/filters/data,Get filter data values for a specific company filter with optional search and pagination. Request body contains service, filter_key, search_text (optional),422,40.44,TRUE,,2025-12-26T03:57:59.239798Z
v3,Companies,GET,/api/v3/companies/{company_uuid}/,Retrieve a single company by UUID.,TRUE,FALSE,200,2820.69,TRUE,,2025-12-26T03:57:59.239798Z
v3,Companies,GET,/api/v3/companies/company/{company_uuid}/contacts/,Return a paginated list of contacts for a specific company with optional filtering.,TRUE,FALSE,200,3631.07,TRUE,,2025-12-26T03:57:59.239798Z
v3,Companies,GET,/api/v3/companies/company/{company_uuid}/contacts/count/,Return the total count of contacts for a specific company matching filters.,TRUE,FALSE,200,2617.23,TRUE,,2025-12-26T03:57:59.239798Z
v3,Companies,GET,/api/v3/companies/company/{company_uuid}/contacts/filters,Get available filters for contacts within a specific company. Returns a list of filter definitions with metadata about each filterable field.,TRUE,FALSE,200,2511.66,TRUE,,2025-12-26T03:57:59.239798Z
v3,Companies,POST,/api/v3/companies/company/{company_uuid}/contacts/filters/data,Get filter data values for contacts within a specific company with optional search and pagination. Values are scoped to only contacts belonging to the specified company. Request body contains service, filter_key, search_text (optional),422,14.90,TRUE,,2025-12-26T03:57:59.239798Z
v3,Email,GET,/api/v3/email/finder/,Find emails by name and domain. Find contact emails by first name, last name, and company domain. This endpoint searches for contacts matching the provided name criteria whose company website domain matches the provided domain/website. Only returns contacts that have email addresses.,,0.00,FALSE,"Request error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v3/email/finder/?first_name=John&last_name=Doe&domain=example.com (Caused by ResponseError('too many 500 error responses'))",2025-12-26T03:57:59.239798Z
v3,Email,POST,/api/v3/email/export,Export emails to CSV. Export emails for a list of contacts to CSV. Processes a list of contacts and attempts to find their email addresses using a two-step approach: first tries to find emails in the database using the email finder service, then falls back to email verification if not found.,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v3,Email,POST,/api/v3/email/single/,Get single email. Get a single email address for a contact using two-step approach. Attempts to find an email address for a single contact by first trying to find emails in the database, then falling back to email verification if not found.,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v3,Email,POST,/api/v3/email/bulk/verifier/,Verify multiple emails (async). Verify multiple email addresses through BulkMailVerifier service. Accepts a list of email addresses and returns verification status for each email (valid, invalid, catchall,200,6790.94,TRUE,,2025-12-26T03:57:59.239798Z
v3,Email,POST,/api/v3/email/single/verifier/,Verify single email (async). Verify a single email address through BulkMailVerifier service. Accepts one email address and returns its verification status (valid, invalid, catchall,422,10.52,TRUE,,2025-12-26T03:57:59.239798Z
v3,Email,POST,/api/v3/email/verifier/,Verify emails synchronously. Verify emails synchronously by generating random email combinations based on first name, last name, and domain,400,27248.41,TRUE,,2025-12-26T03:57:59.239798Z
v3,Email,POST,/api/v3/email/verifier/single/,Find single valid email. Verify emails sequentially and return immediately when first VALID email is found. Generates random email combinations based on first name, last name, and domain,422,163.86,TRUE,,2025-12-26T03:57:59.239798Z
v3,Email,GET,/api/v3/email/bulk/download/{file_type}/{slug}/,Download bulk mail verifier files. Download a CSV file containing verification results for a specific list/batch. Requires provider parameter (bulkmailverifier or truelist).,TRUE,FALSE,400,1400.17,FALSE,"Invalid file_type. Must be one of: valid, invalid, c-all, unknown",2025-12-25T06:53:07.994236Z
