#,id,uuid,name,employees_count,industries,keywords,address,annual_revenue,total_funding,technologies,text_search,created_at,updated_at
1,100148,af8c91f1-e952-53d1-b39d-6985868e4b55,DCS Technologies,18,{information technology & services},"{plotters & thermal printers,voip phone systems,automation,mobile computers,rfid,printers,copiers,mdm,thermal printer supplies,label software,document management,barcode scanners,inventory management,print device service & repair,warehouse technology,it services & it consulting,label supply management,rfid tagging,process design,managed business phone systems,managed print services,platform integration,process automation,data verification,print supply inventory,custom solutions,asset management,zero downtime support plan,copier repair,wip tracking,seamless system integration,office equipment and supplies,custom workflow solutions,warehouse solutions,voice communications,physical document capture,rfid scanning,integrated communication systems,office solutions,thermal labels and printers,mobile labeling stations,automation software,information technology and services,business services,print head life tracking,warehousing and storage,asset tracking rfid,workflow optimization,thermal printers,workflow automation,asset tracking,device geo-fencing,real-time inventory,rfid gateways,printer repair,print head monitoring,barcode verification,b2b,consulting,services,computer systems design and related services,information technology & services,printing,managed services,warehousing & storage,warehousing}","6501 State Route 123, Franklin, Ohio, United States, 45005-4519",9427000,0,"{Outlook,Hubspot,DoubleClick,DoubleClick Conversion,Facebook Login (Connect),Google Dynamic Remarketing,Google Play,Apache,Wufoo,Google AdWords Conversion,Microsoft-IIS,Google Font API,ASP.NET,Mobile Friendly,Facebook Custom Audiences,Facebook Widget,Google Tag Manager,WordPress.org,Remote}","6501 State Route 123, Franklin, Ohio, United States, 45005-4519 Franklin Ohio United States",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
2,100149,e351e42e-5ed9-5e22-b026-90367dda93cf,Customer 1st Communications,8,{information technology & services},"{network cabling,phone systems voip,audio visual,cameras,security,fire alarms,sound masking,access control,thermal temperature monitoring,conference rooms,av,it infrastructure,video conferencing,enterprise network design,cctv,fiber optic cabling,system installation,digital signage,remote monitoring,temperature monitoring systems,av solutions,security and surveillance,structured cabling,security and access control,high-availability data centers,security integration,office automation,u.s.-made materials,technology integration,it maintenance,security camera installation,office technology,information technology and services,voip systems,data center design,network security,wi-fi/wireless systems,security systems,technology consulting,custom security solutions,it support,custom it solutions,project management,computer systems design and related services,enterprise it,it project management,client-specific design,professional contractors,office build-out,das (distributed antenna system),it consulting,cloud services,managed it services,audio/visual systems,office communication systems,scalable solutions,b2b,non-profit,government,consulting,services,information technology & services,computer software,management consulting,productivity,cloud computing,enterprise software,enterprises,nonprofit organization management,it services & computer repair,local services}","5555 Oakbrook Pkwy, Norcross, Georgia, United States, 30093-2233",9573000,0,"{Outlook,Splunk,Node.js,IoT,Sisense,Domo,Android,Remote,KNIME}","5555 Oakbrook Pkwy, Norcross, Georgia, United States, 30093-2233 Norcross Georgia United States",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
3,100150,b5d70edd-f6ce-5570-aed7-d6d47f4beca4,Genioo,51,{management consulting},"{life sciences,health care,transformation,change management,procurement,commercial,techops,r,d,productivity,opex,implementation,smart projects,project management,expert network,collaboration,cocreation,business services,consulting,business development,enterprise software,software,information technology,business consulting & services,global talent pool,transformation coaching,capability development,co-creation methodology,capability transfer,transformation services,life sciences consulting,people-centric methodology,project realization,global consulting,capacity building,private equity,performance metrics,team empowerment,cross-functional expertise,risk management,people-centric approach,organizational agility,strategy execution,agile resourcing,independent professionals,industry best practices,market insights,digital systems,change sustainability,supply chain improvement,value stream mapping,transformation toolkit,transformation readiness,large-scale transformation,client ownership,stakeholder alignment,project delivery,organizational change,long-term value,change acceleration,digital enablement platforms,human connection in projects,transformation blueprint,project governance,transformation culture,cost optimization,r&d optimization,market access,data-driven decision making,business impact,stakeholder engagement,people-centric process,change enablement,ownership and accountability,business transformation,project success metrics,proprietary tools,performance improvement,cross-functional collaboration,product launch support,cost reduction,change leadership,business value,people ownership,industry expertise,project success,value creation,product lifecycle,transformation diagnostics,commercial strategy,digital transformation,organizational resilience,innovation support,post-merger integration,tailored solutions,market strategy,collaborative delivery,transformation journey,capability building,team alignment workshops,digital tools,agile transformation,team mobilization,procurement transformation,client-centric approach,process optimization,collaborative approach,client partnership,transformation roadmap,cross-functional teams,strategy realization,digital enablement,quality assurance,b2b,services,management consulting services,innovation,operational efficiency,regulatory compliance,supply chain management,data analytics,leadership coaching,health,wellness & fitness,enterprises,computer software,information technology & services,management consulting,financial services,venture capital & private equity,logistics & supply chain,professional training & coaching}","1 Bundesplatz, Zug, Canton of Zug, Switzerland, 6300",170000000,0,"{Salesforce,Route 53,Outlook,Pardot,Microsoft Office 365,Greenhouse.io,Amazon AWS,OneTrust,Django Language,YouTube,Linkedin Marketing Solutions,Google Tag Manager,Vimeo,Bootstrap Framework,Mobile Friendly,Typekit,Pingdom,Remote}","1 Bundesplatz, Zug, Canton of Zug, Switzerland, 6300 Zug Canton of Zug Switzerland",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
4,100151,398cce44-233d-5f7c-aea1-e4a6a79df10c,Bandura,27,{information technology & services},"{cyber security,network protection,threat intelligence application,ip blocking,cybersecurity,network security,threat intelligence gateway,threat intelligence,zero trust,microsegmentation,it services & it consulting,threat actor blocking,threat intelligence for threat actor attribution,threat intelligence for firewall,threat intelligence for threat hunting,information technology,threat management platform,threat intelligence data,threat intelligence for proprietary threat data,threat enforcement,threat intelligence for security operations,threat detection at line speed,threat intelligence community data,threat intelligence management,threat intelligence at scale,threat intelligence export,threat intelligence for network monitoring,threat intelligence for cyber defense,threat intelligence integration,threat intelligence aggregation,threat intelligence sharing,threat data feeds,threat intelligence automation,threat intelligence for security stack,threat monitoring,threat actor blocklist,threat intelligence community,threat intelligence for siem,threat intelligence platform,threat blocking-as-a-service,threat data management,threat intelligence for network security,threat intelligence export tools,threat intelligence lists,threat intelligence feeds,threat intelligence for cloud security,threat source attribution,threat response,threat intelligence sharing platform,threat response automation,threat intelligence for managed security services,threat detection,threat intelligence for security stack optimization,threat intelligence for soc,threat intelligence for incident response,threat actor identification,threat intelligence for security automation,threat landscape monitoring,threat intelligence feeds integration,threat intelligence plugins,threat detection and response,threat landscape visibility,threat intelligence management system,cyber threat enforcement,threat intelligence for edr,threat intelligence custom lists,threat intelligence for threat prevention,threat data aggregation,threat intelligence for security monitoring,threat intelligence for cybersecurity automation,security services,threat intelligence for open source threat data,threat intelligence for security operations centers,threat management,threat hunting support,b2b,services,computer systems design and related services,data security,cloud security,risk assessment,computer & network security,information technology & services}","7950 Jones Branch Dr, McLean, Virginia, United States, 22102",7708000,35875000,"{Route 53,Amazon SES,Mailchimp Mandrill,Sendgrid,Gmail,Google Apps,Microsoft Office 365,Zendesk,CloudFlare Hosting,Amazon AWS,Cloudflare DNS,Outlook,Salesforce,Hubspot,SalesLoft,WP Engine,Mapbox,Android,Remote,IoT,AI}","7950 Jones Branch Dr, McLean, Virginia, United States, 22102 McLean Virginia United States",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
5,100152,bb8f1475-9897-5560-976e-e623b32b72ff,NFG Consulting,9,{management consulting},"{facility management,business operations,program management,project management,engineering & technical services,construction management,it management,it operations,management & leadership training,business consulting & services,acquisition and program support,defense and federal services,database management,federal agency support,it infrastructure,government contracting,engineering design review,innovation,service disabled veteran,database administration,engineering management,civil engineering,quality assurance,managed services,data management,professional staffing,support services,operational support,acquisition support,employee development,partnerships,it solutions,technology support,defense industry support,government it support,cloud and data center support,safe agile solutions,veteran-owned business,management consulting,defense support,veteran owned,technical services,acquisition services,professional services,it and cloud solutions,data center operations support,technical staffing,operational efficiency,client-focused,requirements analysis,support for military,military support,defense industry,data center support,information technology and services,military engineering,cloud migration support,cloud support,strategic solutions,program support,system administration,federal contracting,engineering services,mission success,program and project management,technical support,cloud services,construction support,civil engineering for defense,safe certified,scalable solutions,technical staffing for defense,b2b,government,consulting,services,cloud solutions,talent acquisition,software development,risk management,cloud computing,productivity,information technology & services,professional training & coaching,enterprise software,enterprises,computer software}","157 Martingale Loop, Lynn Haven, Florida, United States, 32444",0,0,"{Outlook,Google Cloud Hosting,Wix,Mobile Friendly,Varnish,Remote}","157 Martingale Loop, Lynn Haven, Florida, United States, 32444 Lynn Haven Florida United States",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
6,117324,da219f54-cfb4-5af3-a8a0-b678d3ccff1d,Vadilal Industries USA,0,"{""""}","{""""}","",0,0,"{""""}",   ,2025-11-08 16:41:37.157740,2025-11-08 16:41:37.157740
7,100153,7b76819b-5b62-569d-8c8c-e409940003e9,Polaron Analytics,6,{research},"{research services,predictive analytics,research support,ai/ml algorithms,data visualization,autonomous systems,deep learning,simulation and modeling,model development,advanced data analytics,operational efficiency,aws,synthetic data generation,information technology and services,research and development in physical,engineering,and life sciences,government support,high-performance computing,generative adversarial networks,deep reinforcement learning,computational modeling,python,additive manufacturing data,client-centric solutions,simulation services,data analytics platforms,defense contracting,data analytics,cloud computing,proprietary algorithms,neural networks,cybersecurity,nlp,machine learning,materials data analytics,decision-making,research and development,data-driven decision support,defense contracts,ai in aerospace,data mining,ai techniques,llm,material science data,cybersecurity services,data science,b2b,government,consulting,services,research and development in the physical,engineering,and life sciences,artificial intelligence,natural language processing,data management,innovation,project management,analytics,information technology & services,enterprise software,enterprises,computer software,research & development,productivity}","9059 Springboro Pike, Miamisburg, Ohio, United States, 45342-5058",0,0,"{Outlook,GoDaddy Hosting,reCAPTCHA,Varnish,Google Tag Manager,Wix,Google Font API,WordPress.org,Google Analytics,Mobile Friendly,Render,SharePoint,Intuit,Reviews,Basis}","9059 Springboro Pike, Miamisburg, Ohio, United States, 45342-5058 Miamisburg Ohio United States",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
8,100154,2a057b7d-23d2-54ca-93fd-eb83137d4569,Systems Analysis Services,12,{information technology & services},"{information technology,hardware,software,security & networking,cloud,cyber storage,ai,it services & it consulting,data protection,oem design,security layer implementation,information technology and services,network security,it solutions,it project management,vendor partnerships,oem parts procurement,computer hardware manufacturing,hybrid cloud,virtualization,network security audits,procurement,legacy environment conversion,custom it solutions,enterprise solutions,enterprise data storage,hardware procurement,firewall and router,san and nas,data center solutions,high-availability servers,network monitoring,data center networking,networking,software integration,mobile device management,cyber-security best practices,it security,servers,iot device security,business continuity,data management,network infrastructure,cloud platforms,cybersecurity,iot solutions,layered security,vendor-agnostic solutions,b2b,consulting,services,computer systems design and related services,information technology & services,computer & network security,computer hardware}","335 Auburn St, Newton, Massachusetts, United States, 02466",0,0,"{Mimecast,Outlook,GoDaddy Hosting,Bootstrap Framework,WordPress.org,Apache,Zift Solutions,Google Tag Manager,Mobile Friendly,LiveChat,Gravity Forms,Google Font API,Woo Commerce,Varnish,IoT,AI,S/4HANA,Acumatica}","335 Auburn St, Newton, Massachusetts, United States, 02466 Newton Massachusetts United States",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
9,100155,f79ebb10-dcea-57a6-bb3c-9974b4c1965a,INVISUS,22,{information technology & services},"{information security,cybersecurity,risk management,breach response,identity theft protection,privacy,risk assessment,compliance,breach prevention,data security software products,cyber risk management,identity theft recovery,compliance management,dark web monitoring,data security standards,cybercrime fight,cybersecurity risk assessment,cybersecurity for small business,data breach prevention,cybersecurity standards,business identity protection,cybersecurity training,credit monitoring,cyber incident response,data breach incident response,cyber risk assessment,dark web scans,data breach response,cybersecurity consulting,employee cybersecurity benefits,information technology and services,cybersecurity industry standards,cybersecurity compliance platform,cybersecurity solutions for smbs,identity protection services,cybersecurity solutions,cyber incident management,cyber threat mitigation,business breach response services,cybersecurity and data protection,cybersecurity certification,infosafe certification,cybersecurity compliance,cybersecurity help desk,employee identity protection,cybersecurity compliance tools,business data security,b2b,b2c,services,computer systems design and related services,computer & network security,information technology & services}","1276 S 820 E, American Fork, Utah, United States, 84003-3378",0,0,"{Sendgrid,SendInBlue,Gmail,Google Apps,Amazon AWS,Android,Remote}","1276 S 820 E, American Fork, Utah, United States, 84003-3378 American Fork Utah United States",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
10,100156,4a225530-e50d-5f7b-b99a-39ee66ddfa48,The New England Computer Group,13,{information technology & services},"{managed it services,business continuity,disaster recovery,virtualization,cybersecurity,voip,it services & it consulting,cloud services,it vendor management,it remote support,it incident response,it monitoring,it project management,it system integration,it upgrade services,data recovery solutions,it security evaluation,data backup and recovery,it management,it consulting,off-site data backup,it performance optimization,data backup,it support,it policy development,it risk assessment,it training and education,network security,it disaster recovery,information technology and services,cloud computing,it helpdesk,it consulting services,it services,cloud computing services,it compliance,it compliance consulting,it cost optimization,it system management,it network management,software upgrade management,24/7 network monitoring,cybersecurity solutions,it asset management,it infrastructure,it security,business it solutions,data protection,it maintenance,it infrastructure management,it infrastructure design,remote monitoring,it system audit,it security assessment,it vendor coordination,it solutions for smbs,remote support,b2b,consulting,services,computer systems design and related services,information technology & services,enterprise software,enterprises,computer software,management consulting,computer & network security}","641 Danbury Rd, Ridgefield, Connecticut, United States, 06877-2706",36065000,0,"{Cloudflare DNS,Mailchimp Mandrill,Sendgrid,Constant Contact,Outlook,Microsoft Office 365,CloudFlare Hosting,Google Tag Manager,Gravity Forms,InfusionSoft,Visual Visitor,Linkedin Login,Linkedin Widget,YouTube,Facebook Login (Connect),Facebook Widget,Mobile Friendly,New Relic,WordPress.org,Google Analytics,Google Font API,Clicky}","641 Danbury Rd, Ridgefield, Connecticut, United States, 06877-2706 Ridgefield Connecticut United States",2025-11-08 16:28:39.229053,2025-11-08 16:28:39.229053
